,Dprcp,Dtas
CCSM4,-0.4889553935084612,1.9949274064166664
CESM1-CAM5,7.392028487850766,2.1681588023333336
CSIRO-Mk3-6-0,-5.535226005605775,1.7290368099999995
FIO-ESM,-8.425840954241082,1.2367241220000003
GFDL-CM3,3.8807719565770338,3.1093278464166665
GFDL-ESM2G,-1.6235994303014034,1.3937257177499998
GFDL-ESM2M,1.2587035076703668,1.20044304575
GISS-E2-H,1.7658324633966993,1.5573113812500001
GISS-E2-R,-0.05340495586458882,1.5488631569166669
HadGEM2-AO,5.876943754948827,2.6227027339166664
HadGEM2-ES,4.554658300616454,2.6657089472499997
IPSL-CM5A-LR,1.0770156408988818,2.4983308548333336
IPSL-CM5A-MR,-6.043378573546887,2.537598854
MIROC-ESM,1.0189599220896683,2.7589947480833334
MIROC-ESM-CHEM,-0.04648884862117342,2.896199553
MIROC5,4.028144284752511,2.311193771333333
MRI-CGCM3,5.520372717270816,1.4551881879166666
NorESM1-M,1.920584244179957,1.9689791749999996
NorESM1-ME,0.8444858313001902,2.1611365485000005
bcc-csm1-1,-2.2857447414887933,2.0009414491666666
bcc-csm1-1-m,0.8721976863237169,2.2410532860833334
